<ticker>,<date>,<time>,<close>
banknifty_option_contract,4/2/2022,11:09:00,228.3
banknifty_option_contract,4/2/2022,11:10:00,233.05
banknifty_option_contract,4/2/2022,11:11:00,240.65
banknifty_option_contract,4/2/2022,11:12:00,246.75
banknifty_option_contract,4/2/2022,11:13:00,247.2
banknifty_option_contract,4/2/2022,11:14:00,240.4
banknifty_option_contract,4/2/2022,11:15:00,248.5
banknifty_option_contract,4/2/2022,11:16:00,244.75
banknifty_option_contract,4/2/2022,11:17:00,242
banknifty_option_contract,4/2/2022,11:18:00,234.85
banknifty_option_contract,4/2/2022,11:19:00,236
banknifty_option_contract,4/2/2022,11:20:00,237.55
banknifty_option_contract,4/2/2022,11:21:00,237.8
banknifty_option_contract,4/2/2022,11:22:00,238
banknifty_option_contract,4/2/2022,11:23:00,239.55
banknifty_option_contract,4/2/2022,11:24:00,232.2
banknifty_option_contract,4/2/2022,11:25:00,233.65
banknifty_option_contract,4/2/2022,11:26:00,235.5
banknifty_option_contract,4/2/2022,11:27:00,234.85
banknifty_option_contract,4/2/2022,11:28:00,234.9
banknifty_option_contract,4/2/2022,11:29:00,230.2
banknifty_option_contract,4/2/2022,11:30:00,222.85
banknifty_option_contract,4/2/2022,11:31:00,218.35
banknifty_option_contract,4/2/2022,11:32:00,221.65
banknifty_option_contract,4/2/2022,11:33:00,221.85
banknifty_option_contract,4/2/2022,11:34:00,220.55
banknifty_option_contract,4/2/2022,11:35:00,216.15
banknifty_option_contract,4/2/2022,11:36:00,220.4
banknifty_option_contract,4/2/2022,11:37:00,221
banknifty_option_contract,4/2/2022,11:38:00,222
banknifty_option_contract,4/2/2022,11:39:00,221.3
banknifty_option_contract,4/2/2022,11:40:00,216.15
banknifty_option_contract,4/2/2022,11:41:00,210.8
banknifty_option_contract,4/2/2022,11:42:00,212
banknifty_option_contract,4/2/2022,11:43:00,212.75
banknifty_option_contract,4/2/2022,11:44:00,203.25
banknifty_option_contract,4/2/2022,11:45:00,207.4
